publication_url,author,date,reading_time,post_url,title,preview_image_url,claps
https://towardsdatascience.com/,Natassha Selvaraj,2022-12-28,7 min,https://towardsdatascience.com/how-to-make-money-while-learning-data-science-in-2023-8f1e898d2db5,How to Make Money While Learning Data Science in 2023,https://cdn-images-1.medium.com/fit/t/1600/480/1*UexPA8bZyfZ2i8ZyBRPXeQ.jpeg,1.1K
https://towardsdatascience.com/,Heiko Hotz,2022-12-02,4 min,https://towardsdatascience.com/i-used-chatgpt-to-create-an-entire-ai-application-on-aws-5b90e34c3d50,I Used ChatGPT to Create an Entire AI Application on AWS,https://cdn-images-1.medium.com/fit/t/1600/480/1*GekdnjJTT9N-16WrCToOJg.png,965
https://towardsdatascience.com/,Alberto Romero,2022-12-03,8 min,https://towardsdatascience.com/openais-chatgpt-is-the-world-s-best-chatbot-a25fa9f54442,OpenAI’s ChatGPT Is the World’s Best Chatbot,https://cdn-images-1.medium.com/fit/t/1600/480/0*tIipcmrInD5UMpQI.png,1.2K
https://towardsdatascience.com/,Leah Berg and Ray McLendon,2022-12-19,10 min,https://towardsdatascience.com/a-day-in-the-life-of-a-data-scientist-938d917370b9,A Day in the Life of a Data Scientist,https://cdn-images-1.medium.com/fit/t/1600/480/0*LSaE0ar-FfnzuLUn,305
https://towardsdatascience.com/,Ken Jee,2022-12-02,11 min,https://towardsdatascience.com/the-simple-things-you-need-to-know-as-a-data-science-beginner-c4b9ffd0b516,The Simple Things You Need To Know As A Data Science Beginner,https://cdn-images-1.medium.com/fit/t/1600/480/1*ADWrVZUd0Or8eU7VidO1kg.jpeg,207
https://towardsdatascience.com/,Avi Chawla,2022-12-05,6 min,https://towardsdatascience.com/pandas-isnt-enough-learn-these-25-pandas-to-sql-translations-to-upgrade-your-data-analysis-game-af8d0c26948d,Pandas Isn’t Enough. Learn These 25 Pandas to SQL Translations To Upgrade Your Data Analysis Game,https://cdn-images-1.medium.com/fit/t/1600/480/0*KPvGUt6NPDqfCsHi,381
https://towardsdatascience.com/,Piero Paialunga,2022-12-27,8 min,https://towardsdatascience.com/hands-on-generative-adversarial-networks-gan-for-signal-processing-with-python-ff5b8d78bd28,"Hands-on Generative Adversarial Networks (GAN) for Signal Processing, with Python",https://cdn-images-1.medium.com/fit/t/1600/480/0*Yp0xvopVkM6LmDHe,262
https://towardsdatascience.com/,Samuele Mazzanti,2022-12-30,10 min,https://towardsdatascience.com/what-is-better-one-general-model-or-many-specialized-models-9500d9f8751d,What Is Better: One General Model or Many Specialized Models?,https://cdn-images-1.medium.com/fit/t/1600/480/1*8nyPOEsO0QUhaRFlWyPhtA.png,452
https://towardsdatascience.com/,Federico Trotta,2022-12-03,6 min,https://towardsdatascience.com/5-python-libraries-to-learn-to-start-your-data-science-career-2cd24a223431,5 Python Libraries to Learn to Start Your Data Science Career,https://cdn-images-1.medium.com/fit/t/1600/480/1*fLFXbjmdzbSJFdOKNBcdfw.png,343
https://towardsdatascience.com/,The PyCoach,2022-11-18,6 min,https://towardsdatascience.com/predicting-the-fifa-world-cup-2022-with-a-simple-model-using-python-6b34bdd4f2a5,Predicting The FIFA World Cup 2022 With a Simple Model using Python,https://cdn-images-1.medium.com/fit/t/1600/480/1*-0T6gsOd4XaTegeyak0rdQ.png,3.1K
